Price Dates,Vegetable,Vegetable Price
31-07-2023,Onion,16.0
01-08-2023,Onion,17.0
02-08-2023,Onion,18.0
03-08-2023,Onion,17.0
04-08-2023,Onion,16.0
06-08-2023,Onion,17.0
07-08-2023,Onion,16.0
08-08-2023,Onion,18.0
09-08-2023,Onion,19.0
10-08-2023,Onion,20.0
11-08-2023,Onion,21.0
13-08-2023,Onion,22.0
14-08-2023,Onion,21.0
17-08-2023,Onion,27.0
18-08-2023,Onion,25.0
20-08-2023,Onion,25.0
21-08-2023,Onion,25.0
22-08-2023,Onion,22.0
23-08-2023,Onion,23.0
24-08-2023,Onion,25.0
25-08-2023,Onion,25.0
27-08-2023,Onion,25.0
28-08-2023,Onion,24.0
29-08-2023,Onion,23.0
30-08-2023,Onion,23.0
31-08-2023,Onion,23.0
01-09-2023,Onion,23.0
03-09-2023,Onion,24.0
04-09-2023,Onion,23.0
06-09-2023,Onion,21.0
07-09-2023,Onion,24.0
08-09-2023,Onion,25.0
10-09-2023,Onion,25.0
11-09-2023,Onion,23.0
12-09-2023,Onion,22.0
13-09-2023,Onion,23.0
14-09-2023,Onion,23.0
15-09-2023,Onion,23.0
17-09-2023,Onion,24.0
18-09-2023,Onion,23.0
19-09-2023,Onion,24.0
20-09-2023,Onion,22.0
21-09-2023,Onion,23.0
22-09-2023,Onion,23.0
24-09-2023,Onion,23.0
25-09-2023,Onion,23.0
26-09-2023,Onion,23.0
27-09-2023,Onion,25.0
28-09-2023,Onion,25.0
01-10-2023,Onion,25.0
02-10-2023,Onion,26.0
03-10-2023,Onion,26.0
04-10-2023,Onion,24.0
05-10-2023,Onion,24.0
06-10-2023,Onion,25.0
08-10-2023,Onion,25.0
09-10-2023,Onion,24.0
10-10-2023,Onion,25.0
11-10-2023,Onion,26.0
12-10-2023,Onion,27.0
13-10-2023,Onion,27.0
15-10-2023,Onion,26.0
16-10-2023,Onion,27.0
17-10-2023,Onion,28.0
18-10-2023,Onion,30.0
19-10-2023,Onion,35.0
20-10-2023,Onion,40.0
22-10-2023,Onion,40.0
23-10-2023,Onion,38.0
24-10-2023,Onion,37.0
26-10-2023,Onion,38.0
27-10-2023,Onion,45.0
29-10-2023,Onion,57.0
30-10-2023,Onion,55.0
31-10-2023,Onion,54.0
02-11-2023,Onion,54.0
03-11-2023,Onion,50.0
06-11-2023,Onion,50.0
07-11-2023,Onion,47.0
08-11-2023,Onion,38.0
09-11-2023,Onion,42.0
10-11-2023,Onion,50.0
12-11-2023,Onion,50.0
13-11-2023,Onion,47.0
14-11-2023,Onion,45.0
16-11-2023,Onion,46.0
17-11-2023,Onion,46.0
19-11-2023,Onion,45.0
20-11-2023,Onion,45.0
21-11-2023,Onion,43.0
22-11-2023,Onion,42.0
23-11-2023,Onion,40.0
24-11-2023,Onion,40.0
26-11-2023,Onion,36.0
27-11-2023,Onion,37.0
28-11-2023,Onion,40.0
29-11-2023,Onion,46.0
30-11-2023,Onion,50.0
04-12-2023,Onion,47.0
05-12-2023,Onion,46.0
06-12-2023,Onion,47.0
07-12-2023,Onion,48.0
08-12-2023,Onion,46.0
10-12-2023,Onion,48.0
11-12-2023,Onion,42.0
12-12-2023,Onion,42.0
13-12-2023,Onion,40.0
15-12-2023,Onion,38.0
17-12-2023,Onion,36.0
18-12-2023,Onion,30.0
19-12-2023,Onion,30.0
20-12-2023,Onion,26.0
21-12-2023,Onion,28.0
22-12-2023,Onion,30.0
24-12-2023,Onion,30.0
25-12-2023,Onion,24.0
26-12-2023,Onion,25.0
27-12-2023,Onion,30.0
28-12-2023,Onion,30.0
29-12-2023,Onion,30.0
31-12-2023,Onion,26.0
01-01-2024,Onion,9.0
01-01-2023,Potato,20.0
02-01-2023,Potato,20.0
03-01-2023,Potato,20.0
04-01-2023,Potato,22.0
08-01-2023,Potato,21.0
11-01-2023,Potato,24.0
12-01-2023,Potato,22.0
15-01-2023,Potato,22.0
17-01-2023,Potato,22.0
22-01-2023,Potato,22.0
23-01-2023,Potato,22.0
24-01-2023,Potato,22.0
25-01-2023,Potato,20.0
27-01-2023,Potato,17.0
29-01-2023,Potato,18.0
30-01-2023,Potato,17.0
31-01-2023,Potato,18.0
01-02-2023,Potato,17.0
02-02-2023,Potato,17.0
03-02-2023,Potato,16.0
05-02-2023,Potato,16.0
06-02-2023,Potato,16.0
07-02-2023,Potato,16.0
08-02-2023,Potato,16.0
09-02-2023,Potato,16.0
10-02-2023,Potato,15.0
12-02-2023,Potato,14.0
13-02-2023,Potato,14.0
14-02-2023,Potato,15.0
15-02-2023,Potato,14.0
16-02-2023,Potato,15.0
17-02-2023,Potato,15.0
19-02-2023,Potato,15.0
20-02-2023,Potato,15.0
21-02-2023,Potato,15.0
22-02-2023,Potato,14.0
23-02-2023,Potato,14.0
24-02-2023,Potato,14.0
26-02-2023,Potato,14.0
27-02-2023,Potato,13.0
28-02-2023,Potato,13.0
01-03-2023,Potato,13.0
02-03-2023,Potato,13.0
03-03-2023,Potato,14.0
05-03-2023,Potato,14.0
06-03-2023,Potato,14.0
08-03-2023,Potato,14.0
09-03-2023,Potato,14.0
10-03-2023,Potato,14.0
12-03-2023,Potato,14.0
13-03-2023,Potato,15.0
14-03-2023,Potato,14.0
15-03-2023,Potato,14.0
16-03-2023,Potato,13.0
17-03-2023,Potato,13.0
19-03-2023,Potato,13.0
20-03-2023,Potato,13.0
21-03-2023,Potato,13.0
22-03-2023,Potato,13.0
23-03-2023,Potato,13.0
24-03-2023,Potato,13.0
26-03-2023,Potato,14.0
27-03-2023,Potato,14.0
28-03-2023,Potato,14.0
29-03-2023,Potato,14.0
30-03-2023,Potato,13.0
31-03-2023,Potato,14.0
02-04-2023,Potato,14.0
03-04-2023,Potato,14.0
04-04-2023,Potato,15.0
05-04-2023,Potato,14.0
06-04-2023,Potato,15.0
07-04-2023,Potato,15.0
09-04-2023,Potato,16.0
10-04-2023,Potato,16.0
11-04-2023,Potato,16.0
12-04-2023,Potato,16.0
13-04-2023,Potato,16.0
14-04-2023,Potato,15.0
16-04-2023,Potato,16.0
17-04-2023,Potato,16.0
18-04-2023,Potato,15.0
19-04-2023,Potato,16.0
21-04-2023,Potato,16.0
23-04-2023,Potato,15.0
24-04-2023,Potato,16.0
25-04-2023,Potato,16.0
26-04-2023,Potato,16.0
27-04-2023,Potato,16.0
28-04-2023,Potato,16.0
30-04-2023,Potato,16.0
02-05-2023,Potato,20.0
03-05-2023,Potato,20.0
04-05-2023,Potato,20.0
05-05-2023,Potato,20.0
07-05-2023,Potato,20.0
08-05-2023,Potato,20.0
09-05-2023,Potato,20.0
10-05-2023,Potato,20.0
11-05-2023,Potato,20.0
12-05-2023,Potato,20.0
14-05-2023,Potato,22.0
15-05-2023,Potato,22.0
16-05-2023,Potato,21.0
17-05-2023,Potato,21.0
18-05-2023,Potato,21.0
19-05-2023,Potato,22.0
21-05-2023,Potato,16.0
23-05-2023,Potato,21.0
24-05-2023,Potato,22.0
25-05-2023,Potato,19.0
26-05-2023,Potato,21.0
28-05-2023,Potato,21.0
29-05-2023,Potato,19.0
30-05-2023,Potato,20.0
31-05-2023,Potato,20.0
01-06-2023,Potato,19.0
02-06-2023,Potato,20.0
04-06-2023,Potato,20.0
05-06-2023,Potato,20.0
06-06-2023,Potato,20.0
07-06-2023,Potato,20.0
08-06-2023,Potato,20.0
11-06-2023,Potato,20.0
12-06-2023,Potato,20.0
13-06-2023,Potato,20.0
14-06-2023,Potato,20.0
15-06-2023,Potato,20.0
16-06-2023,Potato,21.0
18-06-2023,Potato,20.0
19-06-2023,Potato,20.0
20-06-2023,Potato,21.0
21-06-2023,Potato,21.0
22-06-2023,Potato,21.0
23-06-2023,Potato,21.0
25-06-2023,Potato,21.0
26-06-2023,Potato,21.0
27-06-2023,Potato,20.0
28-06-2023,Potato,21.0
29-06-2023,Potato,20.0
30-06-2023,Potato,20.0
02-07-2023,Potato,12.0
03-07-2023,Potato,20.0
04-07-2023,Potato,21.0
05-07-2023,Potato,21.0
06-07-2023,Potato,20.0
07-07-2023,Potato,20.0
09-07-2023,Potato,21.0
11-07-2023,Potato,20.0
12-07-2023,Potato,20.0
13-07-2023,Potato,20.0
14-07-2023,Potato,20.0
16-07-2023,Potato,20.0
17-07-2023,Potato,17.0
18-07-2023,Potato,14.0
19-07-2023,Potato,20.0
20-07-2023,Potato,20.0
21-07-2023,Potato,20.0
23-07-2023,Potato,20.0
24-07-2023,Potato,21.0
25-07-2023,Potato,21.0
26-07-2023,Potato,21.0
27-07-2023,Potato,21.0
28-07-2023,Potato,21.0
30-07-2023,Potato,21.0
31-07-2023,Potato,21.0
01-08-2023,Potato,21.0
02-08-2023,Potato,21.0
03-08-2023,Potato,21.0
04-08-2023,Potato,21.0
06-08-2023,Potato,20.0
07-08-2023,Potato,21.0
08-08-2023,Potato,21.0
09-08-2023,Potato,20.0
10-08-2023,Potato,20.0
11-08-2023,Potato,21.0
13-08-2023,Potato,21.0
14-08-2023,Potato,21.0
17-08-2023,Potato,20.0
18-08-2023,Potato,20.0
20-08-2023,Potato,20.0
21-08-2023,Potato,20.0
22-08-2023,Potato,20.0
23-08-2023,Potato,20.0
24-08-2023,Potato,20.0
25-08-2023,Potato,20.0
27-08-2023,Potato,20.0
28-08-2023,Potato,20.0
29-08-2023,Potato,20.0
30-08-2023,Potato,18.0
31-08-2023,Potato,18.0
01-09-2023,Potato,19.0
03-09-2023,Potato,19.0
04-09-2023,Potato,20.0
06-09-2023,Potato,19.0
07-09-2023,Potato,20.0
08-09-2023,Potato,20.0
10-09-2023,Potato,18.0
11-09-2023,Potato,15.0
12-09-2023,Potato,18.0
13-09-2023,Potato,18.0
14-09-2023,Potato,18.0
15-09-2023,Potato,18.0
17-09-2023,Potato,18.0
18-09-2023,Potato,19.0
19-09-2023,Potato,18.0
20-09-2023,Potato,18.0
21-09-2023,Potato,18.0
22-09-2023,Potato,18.0
24-09-2023,Potato,18.0
25-09-2023,Potato,18.0
26-09-2023,Potato,20.0
27-09-2023,Potato,20.0
28-09-2023,Potato,20.0
01-10-2023,Potato,20.0
02-10-2023,Potato,20.0
03-10-2023,Potato,20.0
04-10-2023,Potato,18.0
05-10-2023,Potato,20.0
06-10-2023,Potato,20.0
08-10-2023,Potato,20.0
09-10-2023,Potato,20.0
10-10-2023,Potato,18.0
11-10-2023,Potato,20.0
12-10-2023,Potato,20.0
13-10-2023,Potato,20.0
15-10-2023,Potato,18.0
16-10-2023,Potato,20.0
17-10-2023,Potato,21.0
18-10-2023,Potato,20.0
19-10-2023,Potato,21.0
20-10-2023,Potato,20.0
22-10-2023,Potato,21.0
23-10-2023,Potato,20.0
24-10-2023,Potato,18.0
26-10-2023,Potato,20.0
27-10-2023,Potato,21.0
29-10-2023,Potato,20.0
30-10-2023,Potato,21.0
31-10-2023,Potato,20.0
02-11-2023,Potato,18.0
03-11-2023,Potato,20.0
06-11-2023,Potato,22.0
07-11-2023,Potato,18.0
08-11-2023,Potato,18.0
09-11-2023,Potato,20.0
10-11-2023,Potato,18.0
12-11-2023,Potato,18.0
13-11-2023,Potato,20.0
14-11-2023,Potato,20.0
16-11-2023,Potato,20.0
17-11-2023,Potato,22.0
19-11-2023,Potato,22.0
20-11-2023,Potato,20.0
21-11-2023,Potato,22.0
22-11-2023,Potato,22.0
23-11-2023,Potato,20.0
24-11-2023,Potato,20.0
26-11-2023,Potato,22.0
27-11-2023,Potato,18.0
28-11-2023,Potato,18.0
29-11-2023,Potato,18.0
30-11-2023,Potato,22.0
04-12-2023,Potato,18.0
05-12-2023,Potato,17.0
06-12-2023,Potato,20.0
07-12-2023,Potato,18.0
08-12-2023,Potato,18.0
10-12-2023,Potato,18.0
11-12-2023,Potato,22.0
12-12-2023,Potato,22.0
13-12-2023,Potato,18.0
15-12-2023,Potato,22.0
17-12-2023,Potato,18.0
18-12-2023,Potato,22.0
19-12-2023,Potato,22.0
20-12-2023,Potato,22.0
21-12-2023,Potato,22.0
22-12-2023,Potato,20.0
24-12-2023,Potato,22.0
25-12-2023,Potato,22.0
26-12-2023,Potato,22.0
27-12-2023,Potato,20.0
28-12-2023,Potato,20.0
29-12-2023,Potato,22.0
31-12-2023,Potato,20.0
01-01-2024,Potato,18.0
01-01-2023,Brinjal,30.0
02-01-2023,Brinjal,30.0
03-01-2023,Brinjal,30.0
04-01-2023,Brinjal,25.0
08-01-2023,Brinjal,25.0
11-01-2023,Brinjal,25.0
12-01-2023,Brinjal,30.0
15-01-2023,Brinjal,25.0
17-01-2023,Brinjal,30.0
22-01-2023,Brinjal,40.0
23-01-2023,Brinjal,50.0
24-01-2023,Brinjal,60.0
25-01-2023,Brinjal,70.0
27-01-2023,Brinjal,50.0
29-01-2023,Brinjal,40.0
30-01-2023,Brinjal,50.0
31-01-2023,Brinjal,50.0
01-02-2023,Brinjal,50.0
02-02-2023,Brinjal,40.0
03-02-2023,Brinjal,40.0
05-02-2023,Brinjal,50.0
06-02-2023,Brinjal,40.0
07-02-2023,Brinjal,40.0
08-02-2023,Brinjal,40.0
09-02-2023,Brinjal,40.0
10-02-2023,Brinjal,40.0
12-02-2023,Brinjal,45.0
13-02-2023,Brinjal,35.0
14-02-2023,Brinjal,30.0
15-02-2023,Brinjal,30.0
16-02-2023,Brinjal,30.0
17-02-2023,Brinjal,30.0
19-02-2023,Brinjal,30.0
20-02-2023,Brinjal,25.0
21-02-2023,Brinjal,20.0
22-02-2023,Brinjal,20.0
23-02-2023,Brinjal,20.0
24-02-2023,Brinjal,30.0
26-02-2023,Brinjal,25.0
27-02-2023,Brinjal,16.0
28-02-2023,Brinjal,20.0
01-03-2023,Brinjal,20.0
02-03-2023,Brinjal,20.0
03-03-2023,Brinjal,20.0
05-03-2023,Brinjal,25.0
06-03-2023,Brinjal,14.0
08-03-2023,Brinjal,20.0
09-03-2023,Brinjal,16.0
10-03-2023,Brinjal,16.0
12-03-2023,Brinjal,20.0
13-03-2023,Brinjal,20.0
14-03-2023,Brinjal,20.0
15-03-2023,Brinjal,20.0
16-03-2023,Brinjal,25.0
17-03-2023,Brinjal,25.0
19-03-2023,Brinjal,20.0
20-03-2023,Brinjal,25.0
21-03-2023,Brinjal,25.0
22-03-2023,Brinjal,25.0
23-03-2023,Brinjal,20.0
24-03-2023,Brinjal,30.0
26-03-2023,Brinjal,25.0
27-03-2023,Brinjal,25.0
28-03-2023,Brinjal,25.0
29-03-2023,Brinjal,25.0
30-03-2023,Brinjal,25.0
31-03-2023,Brinjal,25.0
02-04-2023,Brinjal,25.0
03-04-2023,Brinjal,25.0
04-04-2023,Brinjal,25.0
05-04-2023,Brinjal,25.0
06-04-2023,Brinjal,25.0
07-04-2023,Brinjal,25.0
09-04-2023,Brinjal,25.0
10-04-2023,Brinjal,25.0
11-04-2023,Brinjal,25.0
12-04-2023,Brinjal,25.0
13-04-2023,Brinjal,25.0
14-04-2023,Brinjal,20.0
16-04-2023,Brinjal,20.0
17-04-2023,Brinjal,25.0
18-04-2023,Brinjal,20.0
19-04-2023,Brinjal,25.0
21-04-2023,Brinjal,25.0
23-04-2023,Brinjal,25.0
24-04-2023,Brinjal,30.0
25-04-2023,Brinjal,20.0
26-04-2023,Brinjal,20.0
27-04-2023,Brinjal,25.0
28-04-2023,Brinjal,25.0
30-04-2023,Brinjal,25.0
02-05-2023,Brinjal,20.0
03-05-2023,Brinjal,25.0
04-05-2023,Brinjal,20.0
05-05-2023,Brinjal,20.0
07-05-2023,Brinjal,25.0
08-05-2023,Brinjal,20.0
09-05-2023,Brinjal,20.0
10-05-2023,Brinjal,20.0
11-05-2023,Brinjal,25.0
12-05-2023,Brinjal,20.0
14-05-2023,Brinjal,25.0
15-05-2023,Brinjal,25.0
16-05-2023,Brinjal,25.0
17-05-2023,Brinjal,25.0
18-05-2023,Brinjal,25.0
19-05-2023,Brinjal,30.0
21-05-2023,Brinjal,25.0
23-05-2023,Brinjal,25.0
24-05-2023,Brinjal,25.0
25-05-2023,Brinjal,25.0
26-05-2023,Brinjal,25.0
28-05-2023,Brinjal,30.0
29-05-2023,Brinjal,30.0
30-05-2023,Brinjal,30.0
31-05-2023,Brinjal,25.0
01-06-2023,Brinjal,25.0
02-06-2023,Brinjal,25.0
04-06-2023,Brinjal,30.0
05-06-2023,Brinjal,30.0
06-06-2023,Brinjal,35.0
07-06-2023,Brinjal,30.0
08-06-2023,Brinjal,30.0
11-06-2023,Brinjal,30.0
12-06-2023,Brinjal,35.0
13-06-2023,Brinjal,35.0
14-06-2023,Brinjal,35.0
15-06-2023,Brinjal,40.0
16-06-2023,Brinjal,40.0
18-06-2023,Brinjal,25.0
19-06-2023,Brinjal,40.0
20-06-2023,Brinjal,35.0
21-06-2023,Brinjal,35.0
22-06-2023,Brinjal,35.0
23-06-2023,Brinjal,35.0
25-06-2023,Brinjal,35.0
26-06-2023,Brinjal,35.0
27-06-2023,Brinjal,30.0
28-06-2023,Brinjal,35.0
29-06-2023,Brinjal,30.0
30-06-2023,Brinjal,30.0
02-07-2023,Brinjal,30.0
03-07-2023,Brinjal,30.0
04-07-2023,Brinjal,30.0
05-07-2023,Brinjal,35.0
06-07-2023,Brinjal,35.0
07-07-2023,Brinjal,30.0
09-07-2023,Brinjal,30.0
11-07-2023,Brinjal,30.0
12-07-2023,Brinjal,35.0
13-07-2023,Brinjal,30.0
14-07-2023,Brinjal,35.0
16-07-2023,Brinjal,35.0
17-07-2023,Brinjal,30.0
18-07-2023,Brinjal,35.0
19-07-2023,Brinjal,35.0
20-07-2023,Brinjal,30.0
21-07-2023,Brinjal,35.0
23-07-2023,Brinjal,35.0
24-07-2023,Brinjal,40.0
25-07-2023,Brinjal,35.0
26-07-2023,Brinjal,40.0
27-07-2023,Brinjal,40.0
28-07-2023,Brinjal,35.0
30-07-2023,Brinjal,40.0
31-07-2023,Brinjal,40.0
01-08-2023,Brinjal,35.0
02-08-2023,Brinjal,35.0
03-08-2023,Brinjal,40.0
04-08-2023,Brinjal,40.0
06-08-2023,Brinjal,40.0
07-08-2023,Brinjal,40.0
08-08-2023,Brinjal,35.0
09-08-2023,Brinjal,35.0
10-08-2023,Brinjal,40.0
11-08-2023,Brinjal,30.0
13-08-2023,Brinjal,30.0
14-08-2023,Brinjal,40.0
17-08-2023,Brinjal,35.0
18-08-2023,Brinjal,25.0
20-08-2023,Brinjal,30.0
21-08-2023,Brinjal,25.0
22-08-2023,Brinjal,25.0
23-08-2023,Brinjal,30.0
24-08-2023,Brinjal,20.0
25-08-2023,Brinjal,25.0
27-08-2023,Brinjal,25.0
28-08-2023,Brinjal,25.0
29-08-2023,Brinjal,25.0
30-08-2023,Brinjal,25.0
31-08-2023,Brinjal,20.0
01-09-2023,Brinjal,20.0
03-09-2023,Brinjal,20.0
04-09-2023,Brinjal,20.0
06-09-2023,Brinjal,25.0
07-09-2023,Brinjal,16.0
08-09-2023,Brinjal,16.0
10-09-2023,Brinjal,20.0
11-09-2023,Brinjal,20.0
12-09-2023,Brinjal,20.0
13-09-2023,Brinjal,25.0
14-09-2023,Brinjal,25.0
15-09-2023,Brinjal,25.0
17-09-2023,Brinjal,25.0
18-09-2023,Brinjal,30.0
19-09-2023,Brinjal,20.0
20-09-2023,Brinjal,25.0
21-09-2023,Brinjal,25.0
22-09-2023,Brinjal,25.0
24-09-2023,Brinjal,25.0
25-09-2023,Brinjal,25.0
26-09-2023,Brinjal,30.0
27-09-2023,Brinjal,35.0
28-09-2023,Brinjal,35.0
01-10-2023,Brinjal,30.0
02-10-2023,Brinjal,30.0
03-10-2023,Brinjal,50.0
04-10-2023,Brinjal,50.0
05-10-2023,Brinjal,45.0
06-10-2023,Brinjal,50.0
08-10-2023,Brinjal,50.0
09-10-2023,Brinjal,45.0
10-10-2023,Brinjal,45.0
11-10-2023,Brinjal,40.0
12-10-2023,Brinjal,50.0
13-10-2023,Brinjal,40.0
15-10-2023,Brinjal,40.0
16-10-2023,Brinjal,50.0
17-10-2023,Brinjal,40.0
18-10-2023,Brinjal,50.0
19-10-2023,Brinjal,50.0
20-10-2023,Brinjal,45.0
22-10-2023,Brinjal,35.0
23-10-2023,Brinjal,30.0
24-10-2023,Brinjal,35.0
26-10-2023,Brinjal,30.0
27-10-2023,Brinjal,30.0
29-10-2023,Brinjal,35.0
30-10-2023,Brinjal,30.0
31-10-2023,Brinjal,35.0
02-11-2023,Brinjal,40.0
03-11-2023,Brinjal,30.0
06-11-2023,Brinjal,25.0
07-11-2023,Brinjal,25.0
08-11-2023,Brinjal,15.0
09-11-2023,Brinjal,20.0
10-11-2023,Brinjal,15.0
12-11-2023,Brinjal,20.0
13-11-2023,Brinjal,20.0
14-11-2023,Brinjal,16.0
16-11-2023,Brinjal,25.0
17-11-2023,Brinjal,30.0
19-11-2023,Brinjal,25.0
20-11-2023,Brinjal,30.0
21-11-2023,Brinjal,30.0
22-11-2023,Brinjal,20.0
23-11-2023,Brinjal,25.0
24-11-2023,Brinjal,30.0
26-11-2023,Brinjal,20.0
27-11-2023,Brinjal,25.0
28-11-2023,Brinjal,25.0
29-11-2023,Brinjal,25.0
30-11-2023,Brinjal,25.0
04-12-2023,Brinjal,20.0
05-12-2023,Brinjal,20.0
06-12-2023,Brinjal,30.0
07-12-2023,Brinjal,20.0
08-12-2023,Brinjal,40.0
10-12-2023,Brinjal,35.0
11-12-2023,Brinjal,40.0
12-12-2023,Brinjal,50.0
13-12-2023,Brinjal,45.0
15-12-2023,Brinjal,50.0
17-12-2023,Brinjal,70.0
18-12-2023,Brinjal,60.0
19-12-2023,Brinjal,50.0
20-12-2023,Brinjal,60.0
21-12-2023,Brinjal,70.0
22-12-2023,Brinjal,50.0
24-12-2023,Brinjal,60.0
25-12-2023,Brinjal,70.0
26-12-2023,Brinjal,80.0
27-12-2023,Brinjal,70.0
28-12-2023,Brinjal,70.0
29-12-2023,Brinjal,80.0
31-12-2023,Brinjal,60.0
01-01-2024,Brinjal,50.0
01-01-2023,Garlic,50.0
02-01-2023,Garlic,55.0
03-01-2023,Garlic,55.0
04-01-2023,Garlic,55.0
08-01-2023,Garlic,55.0
11-01-2023,Garlic,55.0
12-01-2023,Garlic,65.0
15-01-2023,Garlic,65.0
17-01-2023,Garlic,65.0
22-01-2023,Garlic,65.0
23-01-2023,Garlic,65.0
24-01-2023,Garlic,65.0
25-01-2023,Garlic,65.0
27-01-2023,Garlic,65.0
29-01-2023,Garlic,65.0
30-01-2023,Garlic,65.0
31-01-2023,Garlic,65.0
01-02-2023,Garlic,65.0
02-02-2023,Garlic,65.0
03-02-2023,Garlic,65.0
05-02-2023,Garlic,65.0
06-02-2023,Garlic,65.0
07-02-2023,Garlic,65.0
08-02-2023,Garlic,65.0
09-02-2023,Garlic,65.0
10-02-2023,Garlic,65.0
12-02-2023,Garlic,65.0
13-02-2023,Garlic,80.0
14-02-2023,Garlic,80.0
15-02-2023,Garlic,60.0
16-02-2023,Garlic,80.0
17-02-2023,Garlic,80.0
19-02-2023,Garlic,80.0
20-02-2023,Garlic,80.0
21-02-2023,Garlic,80.0
22-02-2023,Garlic,80.0
23-02-2023,Garlic,80.0
24-02-2023,Garlic,85.0
26-02-2023,Garlic,85.0
27-02-2023,Garlic,85.0
28-02-2023,Garlic,85.0
01-03-2023,Garlic,85.0
02-03-2023,Garlic,85.0
03-03-2023,Garlic,85.0
05-03-2023,Garlic,85.0
06-03-2023,Garlic,85.0
08-03-2023,Garlic,80.0
09-03-2023,Garlic,80.0
10-03-2023,Garlic,80.0
12-03-2023,Garlic,80.0
13-03-2023,Garlic,80.0
14-03-2023,Garlic,80.0
15-03-2023,Garlic,80.0
16-03-2023,Garlic,80.0
17-03-2023,Garlic,80.0
19-03-2023,Garlic,80.0
20-03-2023,Garlic,80.0
21-03-2023,Garlic,80.0
22-03-2023,Garlic,80.0
23-03-2023,Garlic,80.0
24-03-2023,Garlic,80.0
26-03-2023,Garlic,80.0
27-03-2023,Garlic,70.0
28-03-2023,Garlic,70.0
29-03-2023,Garlic,70.0
30-03-2023,Garlic,70.0
31-03-2023,Garlic,70.0
02-04-2023,Garlic,70.0
03-04-2023,Garlic,70.0
04-04-2023,Garlic,70.0
05-04-2023,Garlic,70.0
06-04-2023,Garlic,70.0
07-04-2023,Garlic,75.0
09-04-2023,Garlic,85.0
10-04-2023,Garlic,85.0
11-04-2023,Garlic,85.0
12-04-2023,Garlic,85.0
13-04-2023,Garlic,85.0
14-04-2023,Garlic,80.0
16-04-2023,Garlic,80.0
17-04-2023,Garlic,85.0
18-04-2023,Garlic,85.0
19-04-2023,Garlic,85.0
21-04-2023,Garlic,85.0
23-04-2023,Garlic,90.0
24-04-2023,Garlic,85.0
25-04-2023,Garlic,90.0
26-04-2023,Garlic,90.0
27-04-2023,Garlic,90.0
28-04-2023,Garlic,90.0
30-04-2023,Garlic,90.0
02-05-2023,Garlic,90.0
03-05-2023,Garlic,90.0
04-05-2023,Garlic,90.0
05-05-2023,Garlic,90.0
07-05-2023,Garlic,90.0
08-05-2023,Garlic,90.0
09-05-2023,Garlic,90.0
10-05-2023,Garlic,90.0
11-05-2023,Garlic,90.0
12-05-2023,Garlic,90.0
14-05-2023,Garlic,90.0
15-05-2023,Garlic,90.0
16-05-2023,Garlic,90.0
17-05-2023,Garlic,95.0
18-05-2023,Garlic,95.0
19-05-2023,Garlic,95.0
21-05-2023,Garlic,95.0
23-05-2023,Garlic,95.0
24-05-2023,Garlic,95.0
25-05-2023,Garlic,95.0
26-05-2023,Garlic,95.0
28-05-2023,Garlic,95.0
29-05-2023,Garlic,95.0
30-05-2023,Garlic,90.0
31-05-2023,Garlic,95.0
01-06-2023,Garlic,95.0
02-06-2023,Garlic,95.0
04-06-2023,Garlic,95.0
05-06-2023,Garlic,95.0
06-06-2023,Garlic,95.0
07-06-2023,Garlic,95.0
08-06-2023,Garlic,95.0
11-06-2023,Garlic,95.0
12-06-2023,Garlic,95.0
13-06-2023,Garlic,95.0
14-06-2023,Garlic,95.0
15-06-2023,Garlic,95.0
16-06-2023,Garlic,95.0
18-06-2023,Garlic,95.0
19-06-2023,Garlic,95.0
20-06-2023,Garlic,95.0
21-06-2023,Garlic,95.0
22-06-2023,Garlic,95.0
23-06-2023,Garlic,95.0
25-06-2023,Garlic,95.0
26-06-2023,Garlic,95.0
27-06-2023,Garlic,95.0
28-06-2023,Garlic,120.0
29-06-2023,Garlic,120.0
30-06-2023,Garlic,120.0
02-07-2023,Garlic,120.0
03-07-2023,Garlic,120.0
04-07-2023,Garlic,120.0
05-07-2023,Garlic,120.0
06-07-2023,Garlic,120.0
07-07-2023,Garlic,120.0
09-07-2023,Garlic,140.0
11-07-2023,Garlic,140.0
12-07-2023,Garlic,140.0
13-07-2023,Garlic,160.0
14-07-2023,Garlic,160.0
16-07-2023,Garlic,160.0
17-07-2023,Garlic,165.0
18-07-2023,Garlic,165.0
19-07-2023,Garlic,140.0
20-07-2023,Garlic,165.0
21-07-2023,Garlic,165.0
23-07-2023,Garlic,165.0
24-07-2023,Garlic,140.0
25-07-2023,Garlic,140.0
26-07-2023,Garlic,140.0
27-07-2023,Garlic,140.0
28-07-2023,Garlic,140.0
30-07-2023,Garlic,140.0
31-07-2023,Garlic,160.0
01-08-2023,Garlic,160.0
02-08-2023,Garlic,160.0
03-08-2023,Garlic,160.0
04-08-2023,Garlic,160.0
06-08-2023,Garlic,160.0
07-08-2023,Garlic,160.0
08-08-2023,Garlic,160.0
09-08-2023,Garlic,160.0
10-08-2023,Garlic,160.0
11-08-2023,Garlic,160.0
13-08-2023,Garlic,160.0
14-08-2023,Garlic,160.0
17-08-2023,Garlic,160.0
18-08-2023,Garlic,160.0
20-08-2023,Garlic,160.0
21-08-2023,Garlic,160.0
22-08-2023,Garlic,160.0
23-08-2023,Garlic,160.0
24-08-2023,Garlic,120.0
